Month,Date,Time,Height(m),Time,Height(m),Time,Height(m),Time,Height(m)
01,01,0116,0.67,0813,1.52,1151,1.30,1952,2.55
01,02,0210,0.43,0908,1.54,1242,1.33,2048,2.68
01,03,0301,0.27,0954,1.57,1333,1.33,2139,2.78
01,04,0348,0.19,1038,1.59,1450,1.32,2227,2.81
01,05,0434,0.20,1120,1.61,1551,1.29,2314,2.76
01,06,0517,0.29,1202,1.65,1640,1.29,2359,2.63
01,07,0557,0.44,1247,1.69,1726,1.30,,
01,08,0044,2.42,0636,0.60,1335,1.74,1813,1.33
01,09,0130,2.16,0712,0.77,1427,1.79,1902,1.37
01,10,0222,1.88,0747,0.93,1524,1.86,,
01,11,0819,1.07,1622,1.93,2110,1.41,2305,1.47
01,12,0223,1.28,0448,1.42,0842,1.18,1714,2.01
01,13,0313,1.10,0635,1.34,0840,1.25,1759,2.07
01,14,0348,0.97,1836,2.13,,,,
01,15,0230,0.83,1851,2.18,,,,
01,16,0249,0.69,0925,1.39,1150,1.31,1734,2.26
