MM,DD,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01,01,0.68,0.74,0.88,0.91,0.95,1.12,1.37,1.52,1.48,1.41,1.34,1.30,1.39,1.67,2.12,2.37,2.40,2.40,2.49,2.55,2.38,2.00,1.56,1.07
01,02,0.67,0.44,0.54,0.72,0.79,0.86,1.07,1.37,1.54,1.49,1.44,1.36,1.33,1.42,1.79,2.30,2.54,2.55,2.52,2.61,2.67,2.43,2.00,1.49
01,03,0.96,0.50,0.27,0.43,0.64,0.75,0.84,1.07,1.43,1.57,1.49,1.43,1.34,1.33,1.44,1.90,2.42,2.64,2.60,2.55,2.70,2.75,2.42,1.96
01,04,1.40,0.86,0.37,0.20,0.44,0.66,0.78,0.86,1.14,1.51,1.57,1.48,1.40,1.32,1.32,1.46,2.00,2.49,2.65,2.55,2.54,2.76,2.74,2.34
01,05,1.86,1.30,0.79,0.30,0.25,0.54,0.77,0.85,0.92,1.27,1.59,1.56,1.47,1.36,1.31,1.30,1.52,2.09,2.48,2.56,2.42,2.50,2.75,2.62
01,06,2.20,1.72,1.20,0.72,0.32,0.42,0.72,0.93,0.94,1.04,1.42,1.65,1.56,1.45,1.33,1.30,1.30,1.62,2.13,2.41,2.38,2.26,2.44,2.63
01,07,2.41,2.01,1.55,1.11,0.68,0.44,0.66,0.95,1.09,1.04,1.20,1.57,1.68,1.57,1.45,1.33,1.31,1.34,1.71,2.11,2.27,2.16,2.10,2.32
01,08,2.41,2.15,1.79,1.38,1.03,0.69,0.64,0.92,1.16,1.21,1.17,1.39,1.68,1.72,1.61,1.47,1.37,1.33,1.42,1.76,2.03,2.07,1.92,1.94
01,09,2.12,2.12,1.89,1.58,1.25,0.99,0.78,0.89,1.16,1.34,1.32,1.33,1.55,1.77,1.77,1.67,1.51,1.41,1.37,1.48,1.74,1.88,1.83,1.70
01,10,1.74,1.86,1.84,1.66,1.42,1.17,1.01,0.94,1.12,1.35,1.47,1.45,1.51,1.69,1.84,1.84,1.73,1.56,1.46,1.41,1.50,1.64,1.67,1.58
